article;author;ressort;release_date;comments;recensions;length
1;1;1;19961227;1440;954;6945
2;2;1;19961227;11;1439;29631
3;3;1;19961227;1434;1013;4848
4;4;1;19961227;1957;1577;12330
5;5;1;19961227;294;1961;2940
6;6;1;19961227;1725;1885;2541
7;7;1;19961227;0;0;5257
8;8;1;19961227;1219;151;4757
9;9;1;19961227;1288;564;3176
10;10;1;19961227;1579;929;6082
11;11;1;19961227;1376;1078;3029
12;12;2;19961227;496;1236;23526
13;13;2;19961227;1030;912;4357
14;14;3;19961227;1719;1175;8488
15;15;3;19961227;202;1103;957
16;16;3;19961227;439;851;5460
17;17;3;19961227;433;129;2673
18;18;3;19961227;1172;1963;5090
19;19;3;19961227;1924;232;2824
20;15;3;19961227;1740;121;2695
21;20;3;19961227;782;1914;10321
22;21;3;19961227;428;1160;10464
23;15;3;19961227;1379;688;1024
24;15;3;19961227;1880;1389;964
25;15;3;19961227;160;1739;846
26;22;3;19961227;85;1936;6115
27;23;3;19961227;1968;1791;4186
28;24;3;19961227;647;537;9329
29;14;3;19961227;1701;904;8671
30;25;4;19961227;1035;1577;2994
31;26;4;19961227;967;675;13217
32;15;4;19961227;1067;939;3117
33;27;4;19961227;1857;1946;4502
34;28;4;19961227;1676;10;6454
35;29;4;19961227;473;1882;10216
36;30;1;19970103;1301;1657;3839
37;31;1;19970103;1985;1905;1962
38;23;1;19970103;1911;479;1769
39;32;1;19970103;1894;1810;1964
40;33;1;19970103;1469;577;2054
41;34;1;19970103;1869;521;2318
42;35;1;19970103;582;1466;2149
43;11;1;19970103;1864;730;13373
44;36;1;19970103;279;1661;2723
45;37;1;19970103;1048;1915;1351
46;38;1;19970103;1390;1033;13802
47;32;1;19970103;1553;1334;6775
48;39;1;19970103;671;736;17351
49;15;2;19970103;1320;1965;1456
50;15;2;19970103;1941;1705;2363
51;15;2;19970103;576;417;2432
52;15;2;19970103;1233;709;2319
53;15;2;19970103;477;938;1437
54;15;2;19970103;1527;991;2022
55;15;2;19970103;1809;21;2288
56;15;2;19970103;1526;1715;1701
57;15;2;19970103;482;1822;2469
58;15;2;19970103;1247;492;1655
59;15;2;19970103;1136;1925;2464
60;15;2;19970103;761;637;2338
61;40;2;19970103;106;799;1263
62;15;2;19970103;551;1425;1976
